Round,Accuracy
0,0.093
1,0.1108
2,0.3494
3,0.4525
4,0.4721
5,0.5253
6,0.5567
7,0.5639
8,0.5392
9,0.5828
10,0.5843
11,0.5927
12,0.5789
13,0.5703
14,0.5968
15,0.5913
16,0.5971
17,0.5926
18,0.6037
19,0.6031
20,0.595
21,0.607
22,0.6112
23,0.6064
24,0.5866
25,0.6129
26,0.6086
27,0.6053
28,0.614
29,0.6119
30,0.6127
31,0.6102
32,0.6147
33,0.6173
34,0.608
35,0.6087
36,0.6085
37,0.6198
38,0.6002
39,0.625
40,0.6117
41,0.621
42,0.6157
43,0.6171
44,0.6088
45,0.588
46,0.6056
47,0.606
48,0.6177
49,0.6207
50,0.6043
