Round,Accuracy
0,0.0987
1,0.0731
2,0.1968
3,0.2536
4,0.233
5,0.296
6,0.2415
7,0.2926
8,0.2394
9,0.281
10,0.2327
11,0.2961
12,0.2782
13,0.3421
14,0.3208
15,0.3641
16,0.3313
17,0.3705
18,0.3301
19,0.3748
20,0.3498
21,0.4008
22,0.385
23,0.4062
24,0.3983
25,0.4219
26,0.4024
27,0.4311
28,0.412
29,0.427
30,0.4144
31,0.4451
32,0.4316
33,0.4596
34,0.4327
35,0.4652
36,0.4393
37,0.4681
38,0.4321
39,0.4603
40,0.4423
41,0.4719
42,0.4428
43,0.465
44,0.4468
45,0.4783
46,0.4645
47,0.4857
48,0.4747
49,0.5012
50,0.4716
