Round,Accuracy
0,0.0937
1,0.1774
2,0.5422
3,0.6069
4,0.6322
5,0.6458
6,0.6565
7,0.6634
8,0.668
9,0.6724
10,0.6768
11,0.6831
12,0.6843
13,0.685
14,0.6882
15,0.6884
16,0.6915
17,0.6928
18,0.6923
19,0.6974
20,0.6979
21,0.6996
22,0.6994
23,0.6991
24,0.7016
25,0.6965
26,0.7044
27,0.7023
28,0.7051
29,0.7052
30,0.7091
31,0.7067
32,0.7063
33,0.7092
34,0.7103
35,0.7108
36,0.7147
37,0.709
38,0.7136
39,0.7125
40,0.7111
41,0.7117
42,0.7161
43,0.7115
44,0.7117
45,0.714
46,0.7122
47,0.7172
48,0.7161
49,0.7174
50,0.7185
