Round,Accuracy
0,0.0118
1,0.4822
2,0.4927
3,0.4972
4,0.5004
5,0.5039
6,0.5194
7,0.5215
8,0.5245
9,0.529
10,0.5303
11,0.5363
12,0.5342
13,0.5348
14,0.5372
15,0.5413
16,0.5389
17,0.5449
18,0.5432
19,0.5484
20,0.5385
21,0.5424
22,0.5456
23,0.5422
24,0.5471
25,0.5374
26,0.5443
27,0.5452
28,0.5424
29,0.5439
30,0.5357
31,0.5385
32,0.5357
33,0.5482
34,0.5443
35,0.5398
36,0.5456
37,0.5465
38,0.5434
39,0.5443
40,0.543
41,0.5432
42,0.546
43,0.5424
44,0.546
45,0.5434
46,0.5467
47,0.5499
48,0.5409
49,0.5437
50,0.548
