Round,Accuracy
0,0.0333
1,0.4822
2,0.1024
3,0.4834
4,0.1135
5,0.5043
6,0.3649
7,0.5041
8,0.1512
9,0.4822
10,0.4465
11,0.5166
12,0.2269
13,0.5181
14,0.1624
15,0.4981
16,0.2088
17,0.4987
18,0.2415
19,0.5123
20,0.2206
21,0.514
22,0.2471
23,0.5185
24,0.2585
25,0.5239
26,0.2796
27,0.5226
28,0.3009
29,0.5206
30,0.311
31,0.5359
32,0.2718
33,0.5353
34,0.3116
35,0.5396
36,0.3331
37,0.5374
38,0.3331
39,0.5413
40,0.3318
41,0.5426
42,0.3385
43,0.5383
44,0.3449
45,0.5353
46,0.3523
47,0.5495
48,0.3458
49,0.5391
50,0.3284
