Round,Accuracy
0,0.1486
1,0.4822
2,0.1834
3,0.1024
4,0.1834
5,0.1024
6,0.1834
7,0.4822
8,0.0308
9,0.1834
10,0.1834
11,0.1834
12,0.4822
13,0.1834
14,0.1024
15,0.1834
16,0.0112
17,0.4822
18,0.1024
19,0.4822
20,0.0112
21,0.1834
22,0.0112
23,0.4822
24,0.0112
25,0.4822
26,0.0112
27,0.4822
28,0.0112
29,0.1834
30,0.0112
31,0.4822
32,0.0112
33,0.1834
34,0.0112
35,0.1834
36,0.0112
37,0.1834
38,0.0112
39,0.1834
40,0.0112
41,0.1834
42,0.0112
43,0.1834
44,0.0112
45,0.1834
46,0.0112
47,0.4822
48,0.1024
49,0.4822
50,0.0112
