Round,Accuracy
0,0.0889
1,0.7128
2,0.7542
3,0.7837
4,0.8026
5,0.8088
6,0.8119
7,0.8132
8,0.8202
9,0.8255
10,0.8243
11,0.8296
12,0.8298
13,0.8354
14,0.8335
15,0.8375
16,0.8359
17,0.8369
18,0.8384
19,0.8372
20,0.839
21,0.8384
22,0.838
23,0.8387
24,0.8423
25,0.8407
26,0.8398
27,0.8424
28,0.8402
29,0.8413
30,0.8409
31,0.8413
32,0.8434
33,0.8425
34,0.8404
35,0.8387
36,0.8414
37,0.8407
38,0.8411
39,0.8423
40,0.8408
41,0.8418
42,0.8415
43,0.8419
44,0.8415
45,0.8406
46,0.8394
47,0.8416
48,0.8416
49,0.8439
50,0.8428
