Round,Accuracy
0,0.0996
1,0.8474
2,0.8694
3,0.8791
4,0.8852
5,0.8853
6,0.8879
7,0.8877
8,0.8897
9,0.8897
10,0.8891
11,0.8913
12,0.8913
13,0.8918
14,0.8914
15,0.894
16,0.8942
17,0.8931
18,0.8911
19,0.8927
20,0.8935
21,0.8935
22,0.8933
23,0.895
24,0.8923
25,0.8918
26,0.8932
27,0.8936
28,0.8926
29,0.8936
30,0.8929
31,0.8918
32,0.8938
33,0.8931
34,0.8925
35,0.8926
36,0.8928
37,0.8916
38,0.8921
39,0.8925
40,0.8913
41,0.8921
42,0.8922
43,0.8919
44,0.8919
45,0.892
46,0.8916
47,0.8927
48,0.8921
49,0.8921
50,0.892
