Round,Accuracy
0,0.1
1,0.1001
2,0.206
3,0.3416
4,0.3971
5,0.4962
6,0.5109
7,0.3825
8,0.5176
9,0.5353
10,0.6734
11,0.6317
12,0.6471
13,0.5902
14,0.664
15,0.6152
16,0.7295
17,0.6948
18,0.7226
19,0.6891
20,0.6899
21,0.689
22,0.7019
23,0.7008
24,0.7401
25,0.7384
26,0.7539
27,0.7455
28,0.7559
29,0.7451
30,0.7492
31,0.7464
32,0.7581
33,0.7351
34,0.7544
35,0.7294
36,0.7587
37,0.724
38,0.7663
39,0.6982
40,0.713
41,0.6687
42,0.7576
43,0.7245
44,0.7807
45,0.7296
46,0.7907
47,0.7448
48,0.7824
49,0.7379
50,0.7953
