Round,Accuracy
0,0.1
1,0.6203
2,0.8684
3,0.8765
4,0.884
5,0.8882
6,0.8864
7,0.8884
8,0.8898
9,0.8891
10,0.8891
11,0.8904
12,0.8911
13,0.8905
14,0.8891
15,0.8906
16,0.8898
17,0.8893
18,0.8885
19,0.8896
20,0.8889
21,0.8899
22,0.8898
23,0.8884
24,0.889
25,0.8901
26,0.8897
27,0.8896
28,0.89
29,0.8891
30,0.8886
31,0.8886
32,0.889
33,0.8886
34,0.8889
35,0.8879
36,0.8898
37,0.889
38,0.8892
39,0.8894
40,0.8898
41,0.8898
42,0.8894
43,0.8894
44,0.8893
45,0.8892
46,0.8893
47,0.8876
48,0.8893
49,0.8887
50,0.8888
