Round,Accuracy
0,0.0999
1,0.9771
2,0.9845
3,0.9872
4,0.9884
5,0.9891
6,0.9891
7,0.9894
8,0.9895
9,0.9896
10,0.9895
11,0.9897
12,0.9897
13,0.9905
14,0.9905
15,0.9905
16,0.9905
17,0.9901
18,0.9905
19,0.9906
20,0.9904
21,0.9905
22,0.9906
23,0.9907
24,0.9908
25,0.9909
26,0.9906
27,0.9908
28,0.9908
29,0.9907
30,0.9909
31,0.9908
32,0.9908
33,0.9909
34,0.9909
35,0.991
36,0.9907
37,0.991
38,0.9909
39,0.9909
40,0.9913
41,0.9906
42,0.9909
43,0.9906
44,0.9909
45,0.9912
46,0.9911
47,0.9912
48,0.9913
49,0.991
50,0.9913
