Round,Accuracy
0,0.1476
1,0.7803
2,0.9712
3,0.9766
4,0.9824
5,0.984
6,0.9857
7,0.9853
8,0.9869
9,0.9866
10,0.987
11,0.987
12,0.9872
13,0.988
14,0.9875
15,0.9879
16,0.9877
17,0.9884
18,0.9882
19,0.9887
20,0.9876
21,0.9882
22,0.9883
23,0.9889
24,0.9879
25,0.988
26,0.9888
27,0.9881
28,0.9882
29,0.9879
30,0.9893
31,0.9886
32,0.9886
33,0.9884
34,0.9885
35,0.989
36,0.9889
37,0.9887
38,0.9889
39,0.9885
40,0.9886
41,0.9888
42,0.989
43,0.9891
44,0.9892
45,0.989
46,0.9884
47,0.9893
48,0.9887
49,0.9886
50,0.9889
