Round,Accuracy
0,0.116
1,0.6083
2,0.6521
3,0.8963
4,0.9197
5,0.947
6,0.9537
7,0.962
8,0.9676
9,0.969
10,0.9668
11,0.9719
12,0.9737
13,0.9757
14,0.9749
15,0.977
16,0.9785
17,0.9761
18,0.9789
19,0.9778
20,0.9775
21,0.9779
22,0.9792
23,0.9793
24,0.9804
25,0.9805
26,0.9811
27,0.9821
28,0.9796
29,0.9823
30,0.9803
31,0.9828
32,0.982
33,0.9836
34,0.9827
35,0.9812
36,0.9839
37,0.9825
38,0.9829
39,0.9841
40,0.984
41,0.9837
42,0.9815
43,0.9834
44,0.9835
45,0.9839
46,0.9844
47,0.9846
48,0.9837
49,0.9851
50,0.985
