Round,Accuracy
0,0.0779
1,0.9159
2,0.9798
3,0.9839
4,0.9859
5,0.9865
6,0.9869
7,0.9872
8,0.9874
9,0.9878
10,0.9881
11,0.9879
12,0.9885
13,0.9883
14,0.9888
15,0.989
16,0.9887
17,0.9888
18,0.9887
19,0.9892
20,0.9886
21,0.9889
22,0.9889
23,0.9881
24,0.9888
25,0.9894
26,0.9894
27,0.9892
28,0.9888
29,0.9893
30,0.9895
31,0.9896
32,0.9897
33,0.9897
34,0.9895
35,0.9899
36,0.9899
37,0.9896
38,0.9896
39,0.9898
40,0.9894
41,0.9898
42,0.9897
43,0.99
44,0.9897
45,0.99
46,0.9901
47,0.9899
48,0.9898
49,0.99
50,0.99
