Round,Accuracy
0,0.0638
1,0.6365
2,0.8194
3,0.8197
4,0.8533
5,0.8635
6,0.8609
7,0.8734
8,0.8707
9,0.869
10,0.8719
11,0.8568
12,0.8769
13,0.8796
14,0.8506
15,0.8826
16,0.8827
17,0.8027
18,0.8629
19,0.8518
20,0.8821
21,0.882
22,0.8826
23,0.8792
24,0.8688
25,0.8826
26,0.8826
27,0.8834
28,0.882
29,0.8831
30,0.8791
31,0.8785
32,0.8829
33,0.8814
34,0.8811
35,0.884
36,0.8831
37,0.8802
38,0.8832
39,0.883
40,0.8835
41,0.8818
42,0.8846
43,0.8823
44,0.8767
45,0.8828
46,0.8818
47,0.8816
48,0.8815
49,0.8807
50,0.8818
