Round,Accuracy
0,0.067
1,0.0969
2,0.0759
3,0.1107
4,0.1107
5,0.0969
6,0.0759
7,0.0613
8,0.1959
9,0.1594
10,0.0969
11,0.0759
12,0.0776
13,0.0875
14,0.0776
15,0.067
16,0.1594
17,0.0916
18,0.0759
19,0.067
20,0.0969
21,0.0776
22,0.0638
23,0.1959
24,0.0759
25,0.1959
26,0.0638
27,0.1107
28,0.0613
29,0.0969
30,0.0776
31,0.0759
32,0.067
33,0.0613
34,0.0776
35,0.0969
36,0.0759
37,0.1594
38,0.0776
39,0.0969
40,0.0916
41,0.0969
42,0.0776
43,0.1594
44,0.0638
45,0.1594
46,0.0776
47,0.0613
48,0.0969
49,0.1959
50,0.067
