Round,Accuracy
0,0.0975
1,0.5775
2,0.8425
3,0.8586
4,0.8659
5,0.8687
6,0.8704
7,0.8732
8,0.8745
9,0.8743
10,0.8771
11,0.8777
12,0.8783
13,0.8786
14,0.8792
15,0.879
16,0.8795
17,0.8775
18,0.8788
19,0.8785
20,0.8776
21,0.8792
22,0.879
23,0.8776
24,0.8784
25,0.877
26,0.8783
27,0.8771
28,0.8773
29,0.8782
30,0.8782
31,0.8775
32,0.8767
33,0.8768
34,0.8756
35,0.8768
36,0.8763
37,0.8765
38,0.8749
39,0.8759
40,0.8765
41,0.876
42,0.8765
43,0.877
44,0.8751
45,0.8777
46,0.8756
47,0.8774
48,0.8758
49,0.8759
50,0.8742
