Round,Accuracy
0,0.7649
1,0.7649
2,0.7649
3,0.7649
4,0.7691
5,0.7734
6,0.7924
7,0.7913
8,0.8348
9,0.7761
10,0.7147
11,0.7649
12,0.312
13,0.7649
14,0.7695
15,0.7714
16,0.8225
17,0.8093
18,0.8371
19,0.8124
20,0.8465
21,0.7969
22,0.8294
23,0.7698
24,0.6376
25,0.7649
26,0.7986
27,0.7691
28,0.8472
29,0.7809
30,0.8511
31,0.7817
32,0.8293
33,0.7751
34,0.7663
35,0.7691
36,0.7318
37,0.7691
38,0.8171
39,0.7702
40,0.8509
41,0.7814
42,0.8488
43,0.7826
44,0.8288
45,0.7775
46,0.7697
47,0.7691
48,0.7482
49,0.7691
50,0.8165
