Round,Accuracy
0,0.7597
1,0.7649
2,0.8566
3,0.8592
4,0.8584
5,0.8597
6,0.8583
7,0.8583
8,0.8569
9,0.856
10,0.8575
11,0.8584
12,0.8564
13,0.8564
14,0.8511
15,0.8534
16,0.854
17,0.8524
18,0.854
19,0.8505
20,0.8509
21,0.8535
22,0.8501
23,0.8517
24,0.8541
25,0.8563
26,0.8563
27,0.8529
28,0.8477
29,0.8551
30,0.8524
31,0.8532
32,0.8521
33,0.8526
34,0.8503
35,0.8561
36,0.8551
37,0.8544
38,0.8526
39,0.8524
40,0.85
41,0.8486
42,0.8517
43,0.8492
44,0.8497
45,0.8505
46,0.8506
47,0.8524
48,0.8508
49,0.8514
50,0.848
