Round,Accuracy
0,0.0983
1,0.4449
2,0.5112
3,0.5447
4,0.5691
5,0.5769
6,0.5892
7,0.5937
8,0.6024
9,0.6075
10,0.6102
11,0.6178
12,0.6181
13,0.6199
14,0.6276
15,0.6214
16,0.6283
17,0.6261
18,0.6225
19,0.6301
20,0.6344
21,0.6293
22,0.6332
23,0.6321
24,0.633
25,0.6334
26,0.6318
27,0.6332
28,0.6274
29,0.6326
30,0.6332
31,0.6308
32,0.6321
33,0.6307
34,0.6272
35,0.6342
36,0.629
37,0.6284
38,0.6343
39,0.6298
40,0.6323
41,0.6334
42,0.635
43,0.6293
44,0.6308
45,0.6288
46,0.6338
47,0.6321
48,0.6374
49,0.6308
50,0.637
