Round,Accuracy
0,0.0997
1,0.4655
2,0.5356
3,0.579
4,0.6038
5,0.6235
6,0.6488
7,0.6584
8,0.6713
9,0.6756
10,0.685
11,0.6897
12,0.6958
13,0.6953
14,0.6998
15,0.7043
16,0.7088
17,0.7099
18,0.7121
19,0.7155
20,0.7161
21,0.7179
22,0.7176
23,0.717
24,0.7195
25,0.715
26,0.7221
27,0.726
28,0.7206
29,0.7237
30,0.7238
31,0.7247
32,0.7268
33,0.7283
34,0.7273
35,0.7281
36,0.726
37,0.726
38,0.7296
39,0.7297
40,0.728
41,0.7267
42,0.7277
43,0.7276
44,0.7289
45,0.7291
46,0.7274
47,0.7325
48,0.728
49,0.7297
50,0.7269
