Round,Accuracy
0,0.0997
1,0.1667
2,0.3396
3,0.4293
4,0.4779
5,0.4557
6,0.5255
7,0.5247
8,0.54
9,0.5551
10,0.5556
11,0.5682
12,0.5759
13,0.5773
14,0.575
15,0.5865
16,0.593
17,0.5915
18,0.5739
19,0.5849
20,0.5929
21,0.6019
22,0.6085
23,0.6133
24,0.6161
25,0.6061
26,0.5923
27,0.61
28,0.6193
29,0.5933
30,0.6185
31,0.6173
32,0.613
33,0.6242
34,0.6269
35,0.624
36,0.6373
37,0.6362
38,0.6372
39,0.6444
40,0.6251
41,0.6344
42,0.6447
43,0.6457
44,0.6387
45,0.6442
46,0.6357
47,0.6314
48,0.6262
49,0.6417
50,0.6438
