Round,Accuracy
0,0.0963
1,0.0999
2,0.1
3,0.1025
4,0.1285
5,0.1002
6,0.111
7,0.0871
8,0.1234
9,0.1
10,0.1002
11,0.1
12,0.1077
13,0.0973
14,0.0974
15,0.0998
16,0.1004
17,0.1
18,0.0983
19,0.0959
20,0.1034
21,0.1
22,0.1
23,0.1072
24,0.1321
25,0.1126
26,0.1011
27,0.1001
28,0.1
29,0.1
30,0.1165
31,0.1038
32,0.102
33,0.1038
34,0.1
35,0.1
36,0.1
37,0.0951
38,0.1043
39,0.1057
40,0.1001
41,0.1182
42,0.1114
43,0.1007
44,0.1397
45,0.103
46,0.1066
47,0.1011
48,0.1127
49,0.1186
50,0.0837
