Round,Accuracy
0,0.0988
1,0.2918
2,0.5019
3,0.5607
4,0.5961
5,0.6118
6,0.6312
7,0.6431
8,0.6522
9,0.6576
10,0.6654
11,0.6697
12,0.6768
13,0.6825
14,0.6813
15,0.6867
16,0.6887
17,0.6884
18,0.6909
19,0.6948
20,0.6941
21,0.6982
22,0.6967
23,0.7015
24,0.6988
25,0.7015
26,0.705
27,0.7025
28,0.705
29,0.7035
30,0.706
31,0.706
32,0.7066
33,0.7047
34,0.7052
35,0.7107
36,0.7112
37,0.7097
38,0.7113
39,0.7094
40,0.7099
41,0.7111
42,0.7159
43,0.713
44,0.7092
45,0.7184
46,0.7142
47,0.7162
48,0.7177
49,0.717
50,0.7156
