Round,Accuracy
0,0.1001
1,0.2902
2,0.3449
3,0.3585
4,0.3582
5,0.3679
6,0.3655
7,0.3669
8,0.3744
9,0.3733
10,0.365
11,0.3711
12,0.3693
13,0.3712
14,0.3677
15,0.3655
16,0.3692
17,0.3678
18,0.3632
19,0.3647
20,0.3612
21,0.3625
22,0.3634
23,0.3569
24,0.3589
25,0.359
26,0.3578
27,0.3538
28,0.3591
29,0.3518
30,0.3528
31,0.3545
32,0.3545
33,0.3472
34,0.3504
35,0.3489
36,0.3506
37,0.3426
38,0.342
39,0.3476
40,0.347
41,0.3406
42,0.3472
43,0.3424
44,0.3424
45,0.3437
46,0.3384
47,0.331
48,0.3333
49,0.333
50,0.3344
