Round,Accuracy
0,0.1
1,0.3626
2,0.429
3,0.4457
4,0.4424
5,0.4381
6,0.4301
7,0.4285
8,0.4286
9,0.4208
10,0.421
11,0.4183
12,0.4171
13,0.4161
14,0.4142
15,0.413
16,0.4103
17,0.4093
18,0.4085
19,0.4091
20,0.4059
21,0.4072
22,0.4073
23,0.4064
24,0.4063
25,0.4051
26,0.4035
27,0.404
28,0.4038
29,0.4023
30,0.4034
31,0.4024
32,0.4011
33,0.4007
34,0.3993
35,0.401
36,0.4005
37,0.3988
38,0.4006
39,0.3994
40,0.4
41,0.4003
42,0.3993
43,0.3981
44,0.3987
45,0.3993
46,0.3985
47,0.3992
48,0.3992
49,0.398
50,0.3968
