Round,Accuracy
0,0.093
1,0.1953
2,0.3491
3,0.3666
4,0.3673
5,0.3623
6,0.3602
7,0.3588
8,0.3589
9,0.357
10,0.3547
11,0.3545
12,0.356
13,0.3549
14,0.3551
15,0.3532
16,0.3548
17,0.3529
18,0.3539
19,0.3571
20,0.3562
21,0.3549
22,0.3563
23,0.355
24,0.3545
25,0.3529
26,0.3549
27,0.3545
28,0.354
29,0.3556
30,0.3543
31,0.352
32,0.3537
33,0.3529
34,0.3523
35,0.3511
36,0.3519
37,0.3509
38,0.3525
39,0.3528
40,0.3515
41,0.3514
42,0.3529
43,0.352
44,0.352
45,0.3508
46,0.3519
47,0.3531
48,0.3537
49,0.3522
50,0.3537
