Round,Accuracy
0,0.1
1,0.0912
2,0.1128
3,0.1778
4,0.2321
5,0.2496
6,0.2578
7,0.2645
8,0.2643
9,0.27
10,0.2656
11,0.2711
12,0.2667
13,0.2716
14,0.2636
15,0.2709
16,0.2709
17,0.2763
18,0.2722
19,0.2763
20,0.281
21,0.2729
22,0.2871
23,0.2677
24,0.288
25,0.2668
26,0.2877
27,0.2558
28,0.2872
29,0.2656
30,0.2902
31,0.2614
32,0.2851
33,0.2737
34,0.2903
35,0.2776
36,0.2913
37,0.2732
38,0.2933
39,0.2682
40,0.2891
41,0.2707
42,0.2946
43,0.2636
44,0.2923
45,0.2655
46,0.2942
47,0.2597
48,0.2926
49,0.2689
50,0.2953
