Round,Accuracy
0,0.499
1,0.921
2,0.969
3,0.988
4,0.991
5,0.992
6,0.993
7,0.994
8,0.993
9,0.994
10,0.994
11,0.995
12,0.994
13,0.996
14,0.997
15,0.997
16,0.994
17,0.996
18,0.997
19,0.996
20,0.997
21,0.996
22,0.995
23,0.996
24,0.996
25,0.995
26,0.995
27,0.995
28,0.995
29,0.997
30,0.995
31,0.995
32,0.996
33,0.996
34,0.996
35,0.995
36,0.996
37,0.995
38,0.995
39,0.995
40,0.996
41,0.995
42,0.995
43,0.995
44,0.995
45,0.996
46,0.996
47,0.995
48,0.996
49,0.995
50,0.995
