Round,Accuracy
0,0.0118
1,0.4822
2,0.492
3,0.497
4,0.503
5,0.5135
6,0.5217
7,0.5222
8,0.529
9,0.5351
10,0.5376
11,0.54
12,0.5394
13,0.5445
14,0.5428
15,0.5499
16,0.5452
17,0.5484
18,0.5503
19,0.5503
20,0.5518
21,0.552
22,0.5467
23,0.5542
24,0.5514
25,0.5454
26,0.5501
27,0.5548
28,0.5503
29,0.5516
30,0.5533
31,0.552
32,0.5508
33,0.5458
34,0.5531
35,0.5538
36,0.5548
37,0.551
38,0.5484
39,0.5508
40,0.5482
41,0.5508
42,0.5499
43,0.551
44,0.5525
45,0.5503
46,0.5495
47,0.5563
48,0.5514
49,0.549
50,0.5525
