Round,Accuracy
0,0.0434
1,0.5099
2,0.5561
3,0.5748
4,0.5804
5,0.5774
6,0.5873
7,0.5817
8,0.5828
9,0.5854
10,0.5806
11,0.5865
12,0.5865
13,0.5755
14,0.5813
15,0.5839
16,0.5815
17,0.5877
18,0.5828
19,0.5841
20,0.5847
21,0.5791
22,0.5815
23,0.5839
24,0.5828
25,0.5839
26,0.5843
27,0.5796
28,0.5826
29,0.583
30,0.5837
31,0.5849
32,0.5789
33,0.5811
34,0.5787
35,0.5847
36,0.5858
37,0.5761
38,0.5791
39,0.5794
40,0.5828
41,0.5813
42,0.5809
43,0.577
44,0.5813
45,0.58
46,0.5826
47,0.5824
48,0.5815
49,0.5798
50,0.5854
