Round,Accuracy
0,0.0
1,0.4822
2,0.4819
3,0.4822
4,0.4942
5,0.4914
6,0.5041
7,0.5086
8,0.5437
9,0.5254
10,0.5477
11,0.5297
12,0.5548
13,0.54
14,0.5594
15,0.5533
16,0.5667
17,0.5538
18,0.5705
19,0.557
20,0.5699
21,0.4942
22,0.5398
23,0.5665
24,0.552
25,0.549
26,0.5535
27,0.5275
28,0.5471
29,0.5701
30,0.5662
31,0.5381
32,0.5583
33,0.5596
34,0.5624
35,0.56
36,0.5486
37,0.5505
38,0.5611
39,0.5585
40,0.5671
41,0.5622
42,0.5538
43,0.5265
44,0.5602
45,0.552
46,0.5594
47,0.5598
48,0.5471
49,0.5544
50,0.5637
