Round,Accuracy
0,0.1834
1,0.4822
2,0.4813
3,0.4822
4,0.1824
5,0.4822
6,0.4822
7,0.4822
8,0.4151
9,0.4822
10,0.1901
11,0.4822
12,0.3151
13,0.4822
14,0.1841
15,0.4822
16,0.1882
17,0.4822
18,0.4794
19,0.4819
20,0.4923
21,0.5004
22,0.4955
23,0.5086
24,0.5151
25,0.5067
26,0.5348
27,0.2146
28,0.4822
29,0.4604
30,0.483
31,0.3738
32,0.4895
33,0.251
34,0.4843
35,0.2303
36,0.4828
37,0.4258
38,0.4847
39,0.4548
40,0.4839
41,0.4045
42,0.4845
43,0.4452
44,0.4886
45,0.4194
46,0.4892
47,0.4652
48,0.4854
49,0.4697
50,0.4839
