Round,Accuracy
0,0.0
1,0.4822
2,0.5009
3,0.517
4,0.5359
5,0.5572
6,0.5714
7,0.5772
8,0.5826
9,0.5877
10,0.5839
11,0.5953
12,0.5858
13,0.591
14,0.5912
15,0.5845
16,0.5757
17,0.5888
18,0.5847
19,0.5318
20,0.5772
21,0.5854
22,0.5856
23,0.5901
24,0.5933
25,0.5951
26,0.5774
27,0.594
28,0.5946
29,0.5918
30,0.6011
31,0.5819
32,0.5875
33,0.5884
34,0.5972
35,0.588
36,0.5918
37,0.5914
38,0.5882
39,0.5935
40,0.591
41,0.5953
42,0.5938
43,0.5884
44,0.5931
45,0.5847
46,0.5673
47,0.5871
48,0.5753
49,0.5834
50,0.5886
