Round,Accuracy
0,0.1
1,0.792
2,0.8457
3,0.8625
4,0.8707
5,0.8769
6,0.8803
7,0.884
8,0.8846
9,0.8847
10,0.8875
11,0.8858
12,0.8867
13,0.8874
14,0.8907
15,0.892
16,0.8912
17,0.89
18,0.8916
19,0.8897
20,0.89
21,0.8912
22,0.8924
23,0.8907
24,0.8902
25,0.8915
26,0.8908
27,0.8916
28,0.8926
29,0.8921
30,0.8929
31,0.8913
32,0.8928
33,0.891
34,0.8916
35,0.8917
36,0.8917
37,0.8926
38,0.8921
39,0.8913
40,0.8907
41,0.8907
42,0.8901
43,0.8896
44,0.8907
45,0.89
46,0.8908
47,0.8897
48,0.8909
49,0.8899
50,0.8903
