Round,Accuracy
0,0.0922
1,0.9775
2,0.9861
3,0.9881
4,0.9889
5,0.9891
6,0.9897
7,0.9901
8,0.99
9,0.9904
10,0.9903
11,0.9908
12,0.9905
13,0.9905
14,0.9903
15,0.9902
16,0.9908
17,0.9909
18,0.9906
19,0.9905
20,0.9906
21,0.9905
22,0.9907
23,0.9909
24,0.9907
25,0.9905
26,0.9907
27,0.9904
28,0.9907
29,0.9905
30,0.9905
31,0.9903
32,0.9905
33,0.9904
34,0.9908
35,0.9905
36,0.9905
37,0.9905
38,0.9907
39,0.9902
40,0.9903
41,0.9905
42,0.9907
43,0.9905
44,0.9902
45,0.99
46,0.9901
47,0.9905
48,0.9904
49,0.9906
50,0.9909
