Round,Accuracy
0,0.0982
1,0.3647
2,0.4618
3,0.6043
4,0.6849
5,0.5382
6,0.6557
7,0.6216
8,0.8833
9,0.8459
10,0.8702
11,0.8419
12,0.849
13,0.8353
14,0.8982
15,0.8817
16,0.924
17,0.9252
18,0.9467
19,0.9508
20,0.9593
21,0.9627
22,0.9572
23,0.9624
24,0.9623
25,0.9681
26,0.9663
27,0.9664
28,0.9605
29,0.9654
30,0.9686
31,0.9671
32,0.967
33,0.9694
34,0.9657
35,0.9706
36,0.9695
37,0.97
38,0.9725
39,0.9679
40,0.9733
41,0.9699
42,0.9737
43,0.9723
44,0.97
45,0.9718
46,0.9757
47,0.9752
48,0.9753
49,0.9749
50,0.9664
