Round,Accuracy
0,0.0973
1,0.958
2,0.9835
3,0.9863
4,0.9877
5,0.9884
6,0.9887
7,0.9891
8,0.9893
9,0.9897
10,0.99
11,0.9897
12,0.9899
13,0.99
14,0.9904
15,0.9901
16,0.9903
17,0.9907
18,0.9902
19,0.9904
20,0.9907
21,0.9906
22,0.9906
23,0.9906
24,0.9908
25,0.9908
26,0.9907
27,0.9907
28,0.9905
29,0.9901
30,0.9904
31,0.9904
32,0.9908
33,0.9905
34,0.9907
35,0.9905
36,0.9906
37,0.991
38,0.991
39,0.9909
40,0.9905
41,0.9909
42,0.9907
43,0.9908
44,0.9892
45,0.9909
46,0.9913
47,0.9906
48,0.9909
49,0.9906
50,0.9907
