Round,Accuracy
0,0.0969
1,0.29
2,0.7274
3,0.8488
4,0.8344
5,0.8543
6,0.8295
7,0.8765
8,0.8465
9,0.8832
10,0.8839
11,0.8848
12,0.8755
13,0.8794
14,0.8835
15,0.5174
16,0.88
17,0.8836
18,0.8876
19,0.8879
20,0.8866
21,0.8857
22,0.8828
23,0.8879
24,0.8889
25,0.8879
26,0.8599
27,0.8879
28,0.886
29,0.8883
30,0.8886
31,0.8877
32,0.8879
33,0.7304
34,0.8782
35,0.8869
36,0.8877
37,0.8695
38,0.8871
39,0.8872
40,0.8869
41,0.8869
42,0.8848
43,0.8869
44,0.8863
45,0.8832
46,0.8856
47,0.8849
48,0.8853
49,0.8853
50,0.8852
