Round,Accuracy
0,0.0776
1,0.2404
2,0.6702
3,0.7579
4,0.7905
5,0.8127
6,0.8288
7,0.8379
8,0.8428
9,0.8459
10,0.8475
11,0.8492
12,0.8526
13,0.8544
14,0.8558
15,0.8576
16,0.8576
17,0.8597
18,0.8595
19,0.862
20,0.8596
21,0.8608
22,0.8623
23,0.8616
24,0.8628
25,0.8636
26,0.8619
27,0.8608
28,0.8621
29,0.8637
30,0.8626
31,0.8634
32,0.8628
33,0.8617
34,0.8634
35,0.8615
36,0.8619
37,0.8642
38,0.8626
39,0.8643
40,0.8642
41,0.8644
42,0.8638
43,0.8645
44,0.8643
45,0.8648
46,0.8631
47,0.866
48,0.8646
49,0.8638
50,0.8638
