Round,Accuracy
0,0.196
1,0.1963
2,0.3102
3,0.333
4,0.4509
5,0.5171
6,0.5944
7,0.6101
8,0.6644
9,0.6351
10,0.6708
11,0.6233
12,0.5864
13,0.6219
14,0.6129
15,0.6386
16,0.6824
17,0.7058
18,0.7284
19,0.7194
20,0.732
21,0.7206
22,0.7261
23,0.7022
24,0.694
25,0.7091
26,0.7059
27,0.7228
28,0.7493
29,0.7591
30,0.7712
31,0.7792
32,0.7726
33,0.7659
34,0.7646
35,0.775
36,0.753
37,0.7547
38,0.7608
39,0.7633
40,0.7585
41,0.7686
42,0.7879
43,0.7769
44,0.7829
45,0.7788
46,0.7928
47,0.7919
48,0.7733
49,0.7911
50,0.7952
