Round,Accuracy
0,0.7649
1,0.7649
2,0.7649
3,0.811
4,0.8489
5,0.8228
6,0.7966
7,0.7964
8,0.8042
9,0.7995
10,0.7926
11,0.7976
12,0.8056
13,0.8072
14,0.8009
15,0.7995
16,0.8022
17,0.799
18,0.794
19,0.793
20,0.7959
21,0.7984
22,0.8004
23,0.8024
24,0.8001
25,0.8025
26,0.8073
27,0.8075
28,0.8067
29,0.8016
30,0.8004
31,0.8049
32,0.8118
33,0.8052
34,0.797
35,0.799
36,0.809
37,0.8124
38,0.817
39,0.8162
40,0.8092
41,0.8032
42,0.8111
43,0.8176
44,0.8187
45,0.8184
46,0.8182
47,0.8142
48,0.8047
49,0.8065
50,0.8188
