Round,Accuracy
0,0.1028
1,0.145
2,0.3149
3,0.3942
4,0.4399
5,0.4694
6,0.4913
7,0.5044
8,0.5135
9,0.5194
10,0.5185
11,0.5206
12,0.5227
13,0.5269
14,0.5301
15,0.5337
16,0.5395
17,0.5458
18,0.5553
19,0.5661
20,0.5731
21,0.5811
22,0.5875
23,0.5909
24,0.5946
25,0.5978
26,0.6025
27,0.6027
28,0.6034
29,0.6022
30,0.6039
31,0.6058
32,0.6085
33,0.6099
34,0.6124
35,0.6144
36,0.617
37,0.6203
38,0.627
39,0.6246
40,0.628
41,0.6281
42,0.6292
43,0.6304
44,0.6319
45,0.6323
46,0.6335
47,0.6383
48,0.6377
49,0.6358
50,0.6344
