Round,Accuracy
0,0.1
1,0.1002
2,0.1525
3,0.2429
4,0.2794
5,0.3005
6,0.3255
7,0.353
8,0.3799
9,0.3955
10,0.4184
11,0.4276
12,0.4325
13,0.4384
14,0.4468
15,0.4626
16,0.4748
17,0.487
18,0.4947
19,0.5052
20,0.5133
21,0.5261
22,0.5337
23,0.5379
24,0.5407
25,0.5469
26,0.5499
27,0.5536
28,0.5577
29,0.5569
30,0.5597
31,0.5605
32,0.5639
33,0.5638
34,0.5642
35,0.5621
36,0.5607
37,0.5597
38,0.5587
39,0.5594
40,0.5597
41,0.5594
42,0.5605
43,0.562
44,0.5647
45,0.566
46,0.5693
47,0.5718
48,0.5773
49,0.5799
50,0.5847
