Round,Accuracy
0,0.0927
1,0.1284
2,0.1894
3,0.2479
4,0.2962
5,0.3288
6,0.3672
7,0.3868
8,0.4069
9,0.4213
10,0.4186
11,0.4177
12,0.4249
13,0.433
14,0.4505
15,0.4657
16,0.4786
17,0.4892
18,0.5008
19,0.5065
20,0.5133
21,0.517
22,0.5232
23,0.5246
24,0.5316
25,0.5333
26,0.5358
27,0.5384
28,0.5421
29,0.5417
30,0.5442
31,0.5478
32,0.5537
33,0.5553
34,0.5597
35,0.5609
36,0.5575
37,0.5605
38,0.5618
39,0.5653
40,0.5697
41,0.5729
42,0.5724
43,0.5717
44,0.5721
45,0.5764
46,0.5749
47,0.5771
48,0.5811
49,0.5842
50,0.5867
