Round,Accuracy
0,0.0992
1,0.1405
2,0.3364
3,0.3562
4,0.3771
5,0.4014
6,0.4314
7,0.4542
8,0.4791
9,0.5003
10,0.5188
11,0.523
12,0.5225
13,0.5224
14,0.5268
15,0.5356
16,0.5502
17,0.5623
18,0.5745
19,0.5852
20,0.6005
21,0.6112
22,0.6202
23,0.627
24,0.6356
25,0.6404
26,0.6455
27,0.6473
28,0.6526
29,0.6517
30,0.6527
31,0.6554
32,0.6597
33,0.6574
34,0.659
35,0.6619
36,0.6671
37,0.6706
38,0.6743
39,0.6772
40,0.679
41,0.6816
42,0.6813
43,0.6808
44,0.6796
45,0.6805
46,0.6807
47,0.6811
48,0.6828
49,0.6847
50,0.6858
