Round,Accuracy
0,0.1014
1,0.1003
2,0.1295
3,0.1586
4,0.1987
5,0.2101
6,0.2142
7,0.22
8,0.2373
9,0.2561
10,0.2713
11,0.2812
12,0.2849
13,0.2847
14,0.2827
15,0.2813
16,0.2823
17,0.2834
18,0.2853
19,0.2858
20,0.287
21,0.29
22,0.293
23,0.297
24,0.3007
25,0.3042
26,0.3076
27,0.3102
28,0.3133
29,0.3154
30,0.3166
31,0.3195
32,0.3214
33,0.3238
34,0.326
35,0.3294
36,0.3321
37,0.3344
38,0.3375
39,0.339
40,0.3397
41,0.3421
42,0.3425
43,0.3427
44,0.3418
45,0.3426
46,0.3429
47,0.3437
48,0.3453
49,0.3466
50,0.3468
