Round,Accuracy
0,0.1
1,0.0876
2,0.1025
3,0.1497
4,0.2154
5,0.2435
6,0.2654
7,0.2817
8,0.2937
9,0.3018
10,0.3057
11,0.3086
12,0.3111
13,0.3118
14,0.3124
15,0.3156
16,0.3186
17,0.323
18,0.3249
19,0.327
20,0.3284
21,0.3283
22,0.3295
23,0.3301
24,0.3315
25,0.3329
26,0.334
27,0.3341
28,0.3366
29,0.3379
30,0.338
31,0.3381
32,0.3381
33,0.3379
34,0.3378
35,0.3383
36,0.3388
37,0.3386
38,0.3381
39,0.3378
40,0.3377
41,0.339
42,0.3388
43,0.3389
44,0.3393
45,0.3388
46,0.3394
47,0.3389
48,0.3388
49,0.3394
50,0.3391
