Round,Accuracy
0,0.1
1,0.1007
2,0.1233
3,0.2081
4,0.2231
5,0.2401
6,0.2604
7,0.2687
8,0.2731
9,0.2812
10,0.2921
11,0.2993
12,0.3023
13,0.2954
14,0.2905
15,0.2857
16,0.2869
17,0.2853
18,0.2856
19,0.2883
20,0.2903
21,0.2918
22,0.2918
23,0.2922
24,0.2925
25,0.292
26,0.2896
27,0.2906
28,0.2933
29,0.2948
30,0.2968
31,0.2995
32,0.301
33,0.3026
34,0.3038
35,0.3043
36,0.305
37,0.3059
38,0.3059
39,0.3063
40,0.307
41,0.306
42,0.3059
43,0.3056
44,0.3056
45,0.3045
46,0.3031
47,0.3024
48,0.3019
49,0.3019
50,0.3024
