Round,Accuracy
0,0.1
1,0.106
2,0.1811
3,0.278
4,0.3429
5,0.3636
6,0.369
7,0.3641
8,0.3477
9,0.3288
10,0.3195
11,0.3172
12,0.3192
13,0.325
14,0.3307
15,0.3386
16,0.3455
17,0.353
18,0.3592
19,0.3642
20,0.3672
21,0.3703
22,0.3737
23,0.3759
24,0.3762
25,0.3783
26,0.38
27,0.3804
28,0.3812
29,0.3822
30,0.3828
31,0.384
32,0.3855
33,0.386
34,0.3858
35,0.3871
36,0.3883
37,0.3884
38,0.388
39,0.3877
40,0.3868
41,0.3874
42,0.3872
43,0.3873
44,0.3869
45,0.3864
46,0.3853
47,0.3854
48,0.3852
49,0.3862
50,0.3856
