Round,Accuracy
0,0.0112
1,0.4778
2,0.4822
3,0.4955
4,0.5056
5,0.5282
6,0.5424
7,0.5437
8,0.5372
9,0.5247
10,0.5166
11,0.5114
12,0.5273
13,0.5256
14,0.5286
15,0.5419
16,0.5413
17,0.5387
18,0.5398
19,0.543
20,0.5471
21,0.549
22,0.5413
23,0.5284
24,0.5275
25,0.5267
26,0.5206
27,0.523
28,0.5252
29,0.5361
30,0.532
31,0.5258
32,0.5288
33,0.5299
34,0.5351
35,0.5396
36,0.5398
37,0.5422
38,0.5413
39,0.5428
40,0.5445
41,0.5452
42,0.5398
43,0.537
44,0.5391
45,0.5374
46,0.5342
47,0.5374
48,0.5361
49,0.5342
50,0.5346
