Round,Accuracy
0,0.1834
1,0.3923
2,0.4822
3,0.4822
4,0.4925
5,0.4295
6,0.5037
7,0.5041
8,0.4942
9,0.5187
10,0.5224
11,0.5247
12,0.5301
13,0.5355
14,0.5314
15,0.5344
16,0.5535
17,0.5594
18,0.5415
19,0.5314
20,0.512
21,0.5105
22,0.5224
23,0.5338
24,0.5437
25,0.5465
26,0.5387
27,0.5297
28,0.5213
29,0.5194
30,0.5204
31,0.5256
32,0.5243
33,0.5176
34,0.5209
35,0.5292
36,0.5372
37,0.5342
38,0.5303
39,0.5252
40,0.5217
41,0.5161
42,0.5148
43,0.5178
44,0.5181
45,0.5226
46,0.528
47,0.5277
48,0.5288
49,0.5346
50,0.534
