Round,Accuracy
0,0.1834
1,0.4862
2,0.4895
3,0.4942
4,0.4981
5,0.5151
6,0.5058
7,0.5092
8,0.5211
9,0.5209
10,0.5333
11,0.546
12,0.5555
13,0.5572
14,0.5606
15,0.5675
16,0.5701
17,0.5763
18,0.5832
19,0.5824
20,0.5826
21,0.5819
22,0.5849
23,0.5841
24,0.5871
25,0.5871
26,0.5778
27,0.5733
28,0.572
29,0.5684
30,0.5654
31,0.5677
32,0.5665
33,0.5639
34,0.5632
35,0.5634
36,0.5611
37,0.5637
38,0.5667
39,0.569
40,0.5587
41,0.5606
42,0.5596
43,0.5587
44,0.56
45,0.557
46,0.56
47,0.5622
48,0.5634
49,0.5652
50,0.5652
