Round,Accuracy
0,0.0735
1,0.23
2,0.5606
3,0.6618
4,0.7253
5,0.766
6,0.7789
7,0.7784
8,0.779
9,0.7761
10,0.7782
11,0.7797
12,0.7796
13,0.7814
14,0.785
15,0.7915
16,0.7959
17,0.8006
18,0.8043
19,0.8091
20,0.8132
21,0.8169
22,0.8222
23,0.8272
24,0.8321
25,0.8355
26,0.837
27,0.8375
28,0.8394
29,0.8402
30,0.8411
31,0.8414
32,0.8421
33,0.8424
34,0.8429
35,0.8428
36,0.8439
37,0.8462
38,0.846
39,0.8456
40,0.8455
41,0.8464
42,0.8483
43,0.849
44,0.8497
45,0.8492
46,0.8492
47,0.8498
48,0.8481
49,0.8481
50,0.8474
