Round,Accuracy
0,0.1
1,0.1694
2,0.5558
3,0.5826
4,0.6379
5,0.6655
6,0.6831
7,0.6973
8,0.7252
9,0.768
10,0.7981
11,0.8179
12,0.8213
13,0.8236
14,0.8241
15,0.8287
16,0.8302
17,0.8298
18,0.8292
19,0.8259
20,0.8256
21,0.8324
22,0.8401
23,0.8457
24,0.8512
25,0.8542
26,0.8577
27,0.8549
28,0.8533
29,0.8526
30,0.8491
31,0.8482
32,0.8493
33,0.8513
34,0.8531
35,0.8553
36,0.8574
37,0.8586
38,0.8614
39,0.8627
40,0.864
41,0.8647
42,0.865
43,0.8644
44,0.864
45,0.8624
46,0.8614
47,0.8608
48,0.8615
49,0.8613
50,0.8624
