Round,Accuracy
0,0.099
1,0.1907
2,0.2255
3,0.3257
4,0.4176
5,0.4719
6,0.5215
7,0.6313
8,0.7059
9,0.7291
10,0.7366
11,0.7434
12,0.7405
13,0.7236
14,0.7062
15,0.7183
16,0.7495
17,0.7751
18,0.7926
19,0.7997
20,0.8048
21,0.8091
22,0.8109
23,0.8154
24,0.8168
25,0.8225
26,0.8257
27,0.8268
28,0.8261
29,0.8242
30,0.8213
31,0.8143
32,0.812
33,0.8138
34,0.8164
35,0.8179
36,0.8245
37,0.8294
38,0.8287
39,0.8298
40,0.8264
41,0.8282
42,0.8252
43,0.8261
44,0.8297
45,0.8386
46,0.8401
47,0.8397
48,0.8387
49,0.8358
50,0.8329
