Round,Accuracy
0,0.1
1,0.2169
2,0.4507
3,0.4773
4,0.5106
5,0.5556
6,0.6223
7,0.7316
8,0.8099
9,0.823
10,0.8239
11,0.824
12,0.8261
13,0.8281
14,0.8357
15,0.841
16,0.851
17,0.8562
18,0.8639
19,0.8684
20,0.8717
21,0.8734
22,0.8746
23,0.8746
24,0.8763
25,0.8757
26,0.8763
27,0.8746
28,0.8756
29,0.8764
30,0.8772
31,0.8776
32,0.878
33,0.878
34,0.8778
35,0.8771
36,0.8779
37,0.8791
38,0.8797
39,0.8795
40,0.8797
41,0.8811
42,0.881
43,0.8817
44,0.882
45,0.8826
46,0.8821
47,0.883
48,0.8836
49,0.8838
50,0.8841
