Round,Accuracy
0,0.0768
1,0.3549
2,0.8177
3,0.9503
4,0.972
5,0.9781
6,0.9832
7,0.987
8,0.9893
9,0.9904
10,0.9918
11,0.9914
12,0.9907
13,0.9905
14,0.9903
15,0.9901
16,0.9901
17,0.9913
18,0.9914
19,0.9911
20,0.9919
21,0.9923
22,0.9918
23,0.9921
24,0.992
25,0.9914
26,0.9911
27,0.991
28,0.9913
29,0.9918
30,0.9923
31,0.9923
32,0.9923
33,0.9925
34,0.9924
35,0.9927
36,0.9927
37,0.9924
38,0.9926
39,0.9928
40,0.9931
41,0.9931
42,0.9927
43,0.9925
44,0.9925
45,0.9929
46,0.993
47,0.9929
48,0.9931
49,0.9929
50,0.9926
