Round,Accuracy
0,0.1207
1,0.2683
2,0.6292
3,0.7757
4,0.8275
5,0.86
6,0.9059
7,0.9356
8,0.951
9,0.9566
10,0.9619
11,0.9669
12,0.9702
13,0.969
14,0.9694
15,0.9679
16,0.9688
17,0.9702
18,0.9694
19,0.971
20,0.974
21,0.9755
22,0.9771
23,0.978
24,0.9801
25,0.9811
26,0.9822
27,0.9835
28,0.9828
29,0.9836
30,0.9839
31,0.9851
32,0.9848
33,0.984
34,0.9841
35,0.9841
36,0.9851
37,0.9845
38,0.985
39,0.9853
40,0.9856
41,0.9856
42,0.9857
43,0.9861
44,0.9865
45,0.9866
46,0.9864
47,0.9859
48,0.9863
49,0.9871
50,0.9878
