Round,Accuracy
0,0.0947
1,0.2906
2,0.823
3,0.9435
4,0.9611
5,0.9661
6,0.9714
7,0.9764
8,0.9806
9,0.9842
10,0.9856
11,0.9843
12,0.9842
13,0.9837
14,0.985
15,0.9849
16,0.9852
17,0.9855
18,0.985
19,0.9855
20,0.9859
21,0.9861
22,0.9866
23,0.9869
24,0.9872
25,0.9873
26,0.9874
27,0.988
28,0.9884
29,0.9886
30,0.9885
31,0.9886
32,0.9887
33,0.989
34,0.9887
35,0.9886
36,0.9885
37,0.9885
38,0.9884
39,0.9884
40,0.9887
41,0.9886
42,0.9887
43,0.9888
44,0.9884
45,0.9883
46,0.9883
47,0.9883
48,0.9883
49,0.9883
50,0.9885
