Round,Accuracy
0,0.0638
1,0.0638
2,0.2024
3,0.2106
4,0.2414
5,0.2928
6,0.3796
7,0.4709
8,0.5501
9,0.5948
10,0.6184
11,0.6442
12,0.6678
13,0.6919
14,0.7109
15,0.7222
16,0.7315
17,0.741
18,0.7476
19,0.7487
20,0.7462
21,0.7433
22,0.7396
23,0.7402
24,0.7359
25,0.7352
26,0.7366
27,0.7374
28,0.7382
29,0.7391
30,0.7367
31,0.7326
32,0.7284
33,0.7271
34,0.7236
35,0.7208
36,0.7177
37,0.7143
38,0.7121
39,0.7137
40,0.7137
41,0.714
42,0.7155
43,0.7182
44,0.721
45,0.7237
46,0.7264
47,0.7286
48,0.7288
49,0.7256
50,0.7238
