Round,Accuracy
0,0.067
1,0.067
2,0.0671
3,0.0925
4,0.1593
5,0.2728
6,0.3647
7,0.4199
8,0.4871
9,0.5765
10,0.6468
11,0.6886
12,0.7064
13,0.7115
14,0.7151
15,0.7151
16,0.7173
17,0.7241
18,0.7297
19,0.7292
20,0.7283
21,0.7286
22,0.7322
23,0.7388
24,0.7448
25,0.751
26,0.7575
27,0.7653
28,0.7718
29,0.7785
30,0.7838
31,0.7862
32,0.7884
33,0.7892
34,0.7896
35,0.7916
36,0.7953
37,0.7987
38,0.8021
39,0.8042
40,0.8059
41,0.8081
42,0.808
43,0.8101
44,0.812
45,0.812
46,0.8122
47,0.8108
48,0.8121
49,0.812
50,0.8121
