Round,Accuracy
0,0.1594
1,0.1594
2,0.1768
3,0.445
4,0.5976
5,0.7024
6,0.76
7,0.7928
8,0.8161
9,0.8332
10,0.8462
11,0.8533
12,0.8542
13,0.8526
14,0.8506
15,0.8504
16,0.8511
17,0.8534
18,0.8558
19,0.8594
20,0.8624
21,0.8654
22,0.8684
23,0.871
24,0.8716
25,0.8725
26,0.873
27,0.8729
28,0.872
29,0.8722
30,0.8722
31,0.8721
32,0.872
33,0.8722
34,0.8725
35,0.8731
36,0.8742
37,0.8739
38,0.8736
39,0.8743
40,0.8743
41,0.8743
42,0.8732
43,0.8732
44,0.8739
45,0.8752
46,0.8759
47,0.8748
48,0.8748
49,0.8748
50,0.8747
