Round,Accuracy
0,0.7649
1,0.7649
2,0.7649
3,0.7686
4,0.7847
5,0.7935
6,0.7984
7,0.8018
8,0.7995
9,0.8033
10,0.8041
11,0.8115
12,0.8139
13,0.8053
14,0.8184
15,0.8159
16,0.8245
17,0.8102
18,0.824
19,0.8055
20,0.8216
21,0.794
22,0.825
23,0.7893
24,0.8257
25,0.7953
26,0.8174
27,0.7964
28,0.8072
29,0.7938
30,0.8205
31,0.7887
32,0.8154
33,0.795
34,0.8135
35,0.8009
36,0.8004
37,0.8062
38,0.801
39,0.8084
40,0.8072
41,0.8122
42,0.8019
43,0.8084
44,0.801
45,0.8081
46,0.7973
47,0.8082
48,0.7956
49,0.8095
50,0.8543
